,Length 10,Length 25,Length 100,Length 150,Length 200,Length 250,Length 500,Length 750,Length 1000,Length 10000
0,508246496.0,139072552960.0,2.8973197918176543e+18,3.1556777564566454e+19,1.834333544492187e+20,4.300167106390078e+20,2.0470947443351214e+21,4.5046509364085103e+21,1.0147276493210578e+22,4.2299832518656164e+23
1,105639808.0,4115834368.0,1.3628588188405596e+18,4.40143696515941e+19,7.572444772437485e+19,3.763805279268855e+20,1.6776419489037827e+21,6.406854043944519e+21,8.019889182181394e+21,3.975521226007899e+23
2,310639392.0,1119483136.0,2.536632973785039e+18,4.1992600864579125e+19,2.1580350453652547e+20,3.802026414512674e+20,3.194013935801102e+21,4.608637081479658e+21,1.2029973666335516e+22,4.906254580550676e+23
3,408779904.0,48328216576.0,5.206224940914704e+18,4.223071989878332e+19,1.974626654228033e+20,4.615327600938582e+20,2.27918775113166e+21,5.563813970697968e+21,8.283489371971016e+21,4.799321471286361e+23
4,719604992.0,128200531968.0,3.182170131786629e+17,4.283363490085103e+19,1.4269713473537363e+20,3.6121557097538965e+20,2.1790509171045187e+21,5.861875141886276e+21,9.057803389003987e+21,3.557389382492283e+23
